,Channel,Note,Time,Velocity,MidiName,Artist,Genre,Length,Ticks_per_beat,Tempo,Program,Type,Instrument,Real_time,Octave
1933,0,65,72,85,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0756303,F5
1934,0,69,0,91,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,A5
1935,0,72,0,89,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,C6
1936,0,69,399,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.4191179125,A5
1937,0,65,0,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,F5
1938,0,72,9,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0094537875,C6
1939,0,65,72,77,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0756303,F5
1940,0,69,0,81,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,A5
1941,0,72,0,77,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,C6
1942,0,72,130,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.13655470833333333,C6
1943,0,69,1,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0010504208333333334,A5
1944,0,65,7,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.007352945833333333,F5
1945,0,67,102,78,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.107142925,G5
1946,0,71,0,81,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,B5
1947,0,74,0,87,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,D6
1948,0,74,88,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.09243703333333333,D6
1949,0,71,0,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,B5
1950,0,67,2,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0021008416666666667,G5
1951,0,67,150,80,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.157563125,G5
1952,0,71,0,78,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,B5
1953,0,74,0,80,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,D6
1954,0,74,79,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.08298324583333333,D6
1955,0,71,7,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.007352945833333333,B5
1956,0,67,6,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.006302525,G5
1957,0,67,148,78,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.15546228333333334,G5
1958,0,71,0,78,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,B5
1959,0,74,0,80,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,D6
1960,0,74,86,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.09033619166666668,D6
1961,0,71,5,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.005252104166666667,B5
1962,0,67,5,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.005252104166666667,G5
1963,0,67,144,91,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.1512606,G5
1964,0,71,0,91,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,B5
1965,0,74,0,95,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,D6
1966,0,67,373,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.3918069708333333,G5
1967,0,74,7,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.007352945833333333,D6
1968,0,71,0,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,B5
1969,0,67,100,83,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.10504208333333334,G5
1970,0,71,0,80,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,B5
1971,0,74,0,87,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,D6
1972,0,67,104,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.10924376666666667,G5
1973,0,71,4,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0042016833333333335,B5
1974,0,74,1,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0010504208333333334,D6
1975,0,67,131,83,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.13760512916666667,G5
1976,0,71,0,70,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,B5
1977,0,74,0,78,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,D6
1978,0,74,106,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.11134460833333333,D6
1979,0,67,1,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0010504208333333334,G5
1980,0,71,3,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0031512625,B5
1981,0,67,130,87,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.13655470833333333,G5
1982,0,71,0,80,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,B5
1983,0,74,0,85,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,D6
